,tweets,creation_date,user,retweets,favorites,favorited,retweeted,language
78,@KARYMG10 ¡Hola! Tu animal protector es el coyote. 💛✨,2020-09-27 14:54:05-05:00,KARYMG10,0,,False,,es
79,"@MaliaGalaxia ¡Qué bueno que te gustaron, Maria Ofelia! ¡Ve por la tuya! ¡Tu animal protector es la serpiente! 😉💛",2020-09-27 14:53:31-05:00,MaliaGalaxia,0,,False,,es
80,"@hugovazquezosor ¡Hola, Hugo! Tu animal protector es el perro. 💛🐕",2020-09-27 14:52:14-05:00,hugovazquezosor,0,,False,,es
81,"@zaracho_gilda ¡Hola, Gilda! Tu animal protector es el coyote. 💛✨",2020-09-27 14:51:06-05:00,zaracho_gilda,0,,False,,es
82,@imsame_soul Hola imsame_soul.  Compártenos un poco más de tu experiencia en mensaje directo.  Quedamos atentos a tus comentarios. Saludos.,2020-09-27 14:22:03-05:00,imsame_soul,0,,False,,es
83,@D_R_A_L_E_X Hola D_R_A_L_E_X.  Te enviamos un mensaje directo ¿Nos ayudas a verificar? Saludos.,2020-09-27 14:20:18-05:00,D_R_A_L_E_X,0,,False,,es
84,"@ahimeeht Hola Ahimeé. Disculpa las molestias seguimos revisando tu caso, se comunicaran a la brevedad, te pedimos estar al pendiente. Saludos.",2020-09-27 13:55:22-05:00,ahimeeht,0,,False,,es
85,"@EduardoRiveri Hola Eduardo Riveri❄?✨. Te estamos dando seguimiento, lo puedes verificar ingresando a tus mensajes privados. Saludos.",2020-09-27 13:47:21-05:00,EduardoRiveri,0,,False,,es
86,"@Fernand87243642 Hola Fernanda, una disculpa por los inconvenientes. Acabamos de enviarte un mensaje directo, por favor en cuanto te sea posible consúltalo. Muchas gracias.",2020-09-27 13:29:43-05:00,Fernand87243642,0,,False,,es
87,"@leticiabravosa2 Hola leticia. Disculpa las molestias seguimos revisando tu caso, se comunicaran a la brevedad, te pedimos estar al pendiente. Saludos.",2020-09-27 13:27:50-05:00,leticiabravosa2,0,,False,,es
88,"@Lumart3030 Hola Lupita. Te estamos dando seguimiento, lo puedes verificar ingresando a tus mensajes privados. Saludos.",2020-09-27 12:28:41-05:00,Lumart3030,0,,False,,es
89,"¿Antojo? ¿Dulce o salado? ¿Mixto? ¿Un poco crujiente? Ufff. En El Gourmet Palacio tenemos antojos para cualquier hora del día. Visítanos en tu Palacio favorito, en https://t.co/kflvUYQOTZ y al 📞 55 47429945. 👨🏻‍🍳 #EstamosTotalmenteContigo https://t.co/TiKNeOOJJZ",2020-09-27 12:00:22-05:00,,3,,False,,es
90,"@dzamora88 Hola Daniel. Compártenos la siguiente información para tu seguimiento en MD: Nombre completo de quien realizo la compra, número de orden, SKU o código del producto, correo electrónico, teléfono, forma de pago y una breve descripción de tu solicitud, quedamos atentos. Saludos.",2020-09-27 11:47:56-05:00,dzamora88,0,,False,,es
91,"@VaneGam Hola Vanessa. Compártenos la siguiente información para tu seguimiento en MD: Nombre completo de quien realizo la compra, número de orden, SKU o código del producto, correo electrónico, teléfono, forma de pago y una breve descripción de tu solicitud, quedamos atentos. Saludos.",2020-09-27 11:12:29-05:00,VaneGam,0,,False,,es
92,@cibergirl_ Hola cibergirl_. ¿Cómo te podemos ayudar? Compártenos un poco más de tu experiencia en mensaje directo.  Quedamos atentos a tus comentarios. Saludos.,2020-09-27 10:45:53-05:00,cibergirl_,0,,False,,es
93,Mi animal espiritual. ¿Cuál es el tuyo?🐴 📷 https://t.co/0lCVEte0tf  #BuenosDías #EstamosTotalmenteContigo https://t.co/LZAP0UkzXp,2020-09-27 08:00:41-05:00,,3,,False,,es
94,@micato 😉😊,2020-09-26 23:50:46-05:00,micato,0,,False,,und
95,"@AngelJazsiel ¡Hola, Ángel! Tu animal protector es el venado. 💛🦌",2020-09-26 23:47:15-05:00,AngelJazsiel,0,,False,,es
96,@MIa_m0r 😉😊,2020-09-26 23:44:21-05:00,MIa_m0r,0,,False,,und
97,"@albubu2501 ¡Hola, Alberto! Tu animal protector es el coyote. 💛✨",2020-09-26 23:43:38-05:00,albubu2501,0,,False,,es
98,@acalvillo16 😉😊,2020-09-26 23:42:56-05:00,acalvillo16,0,,False,,und
99,"@Ramirez_jose3 ¡Hola, José! Tu animal protector es el conejo. 💛🐇",2020-09-26 23:29:19-05:00,Ramirez_jose3,0,,False,,es
